date,title,article,author,link
2019-05-08T06:45:27+00:00,【Google I/O 2019】Goole Pixel 3A/3A XL 懶人包　10大賣點+售價+詳細規格,"五月 8, 2019 •,, ,  •,Tags: ,, ,, ",Login,https://unwire.hk/2019/05/08/pixel-3a-3a-xl/google/
2019-05-07T08:52:11+00:00,iPhone Siri 藏《復仇者聯盟4》彩蛋　呼喚 Jarvis 即變 Iron Man 管家,"五月 7, 2019 •,  •,Tags: ,, ,, ",Dennis,https://unwire.hk/2019/05/07/siri-jarvis/fun-tech/
2019-05-07T09:30:54+00:00,《The Division 2》特工實體裝備到港,"五月 7, 2019 •,, ,  •,Tags: ",Login,https://unwire.hk/2019/05/07/the-division-2-merch/shop_guide/
2019-05-07T10:15:48+00:00,【評測】Lenovo ThinkPad X390 商務筆電   鍵盤堅好打+傳統機身設計,"五月 7, 2019 •,, ,, ,  •,Tags: ,, ,, ,, ",藍哥Blue,https://unwire.hk/2019/05/07/lenovo-thinkpad-x390/review-2/
2019-05-07T11:22:51+00:00,【評測】S.H.F. 《復仇者聯盟：終局之戰》系列 Figure　面相一般+高可動性,"五月 7, 2019 •,, ,, ,  •,Tags: ,, ,, ,, ",Login,https://unwire.hk/2019/05/07/shf-endgame/shop_guide/
2019-05-07T06:39:27+00:00,Samsung Q900R QLED 8K TV 體驗會　親身感受 8K 畫面之美,"五月 7, 2019 •,  •,Tags: ",arthur,https://unwire.hk/2019/05/07/samsungq900r/site_news/
2019-05-06T23:36:31+00:00,Android Auto 新介面設計   今年夏季推出,"五月 7, 2019 •,  •,Tags: ",唐美鳳,https://unwire.hk/2019/05/07/android-auto-has-a-new-look-coming-later-this-summer/life-tech/auto/
2019-05-06T23:34:26+00:00,Ford 以 VR 裝置協助汽車設計,"五月 7, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/07/ford-brings-vr-to-its-design-department-with-co-creation-tool/life-tech/auto/
2019-05-07T06:15:03+00:00,iOS 13 二十大傳言重點新功能　彭博：將於 WWDC 2019 正式推出？,"五月 7, 2019 •,, ,  •,Tags: ",Login,https://unwire.hk/2019/05/07/ios-13-20-freatures/software/ios-app/
2019-04-09T07:27:48+00:00,HBO《權力遊戲》成為必睇美劇之五大原因　重溫第一至七季精彩劇情迎接最終大戰,"四月 9, 2019 •,, ,, ,  •,Tags: ,, ,, ",小白,https://unwire.hk/2019/04/09/nowtv_game-of-thrones/movie-2/
2019-05-07T07:14:21+00:00,新版 Windows 將採用 Linux 特製核心　Microsoft：將保持 Linux 開源特性　,"五月 7, 2019 •,  •,Tags: ,, ",Login,https://unwire.hk/2019/05/07/windows-linux/software/win10/
2019-05-07T11:22:38+00:00,Beyond Meat 上市後狂升　帶動 A 股「素食肉概念」食品股漲停,"五月 7, 2019 •,  •,Tags: ",Login,https://unwire.hk/2019/05/07/beyond-meat-ipo/life-tech/health/
2019-05-07T12:44:37+00:00,【實試】Astell&Kern KANN CUBE 音樂播放器 　DAP耳擴2合1+推力再升級,"五月 7, 2019 •,, ,, ,  •,Tags: ,, ",Lawton,https://unwire.hk/2019/05/07/astellkern-kann-cube/mobile-music/
2019-05-07T23:22:12+00:00,內部通告指示 Apple Watch Series 2 維修可更換 Series 3,"五月 8, 2019 •,  •,Tags: ",唐美鳳,https://unwire.hk/2019/05/08/apple-watch-series-2-replace-with-series-3/life-tech/watch-wireless-home/
2019-05-07T23:09:05+00:00,Instagram 宣佈將推出移除內容上訴機制,"五月 8, 2019 •,  •,Tags: ",唐美鳳,https://unwire.hk/2019/05/08/instagram-appeals-content-review-taken-down-posts/life-tech/social-network/
2019-05-07T11:33:25+00:00,Qualcomm 華為專利談判步入尾聲？傳華為需每季付 1.5 億美元,"五月 7, 2019 •,  •,Tags: ,, ,, ,, ",Login,https://unwire.hk/2019/05/07/qualcomm-huawei/fun-tech/
2019-05-07T23:13:53+00:00,《權力遊戲》穿崩現咖啡杯   HBO 後製移除補鑊,"五月 8, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/08/game-of-thrones-cup-removed/movie-2/
2019-05-07T23:16:30+00:00,Urbanears 發表品牌首款可攜式揚聲器,"五月 8, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/08/urbanears-ralis-first-portable-speaker-bluetooth/mobile-music/
2019-05-07T23:19:50+00:00,刷 Windows 10 系統   Lumia 950XL 手機變電腦,"五月 8, 2019 •,, ,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2019/05/08/windows-10-on-arm-firmware-for-lumia-950-xl-now-available/software/win10/
2019-05-08T01:32:03+00:00,《復仇者聯盟 4》破《阿凡達》10年票房記錄　上映 13 日香港狂收 1.78 億,"五月 8, 2019 •,  •,Tags: ,, ,, ",Login,https://unwire.hk/2019/05/08/avenger-4-boxoffice/movie-2/
2019-05-08T06:04:55+00:00,Waymo 與 Lyft 達合作協議　 Lyft 用戶可用App召喚自動車,"五月 8, 2019 •,  •,Tags: ,, ",Dennis,https://unwire.hk/2019/05/08/waymo-lift-partnership/fun-tech/
2019-05-08T04:56:40+00:00,Nighthawk XR300 入門級電競路由器登場　創造更流暢遊戲體驗,"五月 8, 2019 •,  •,Tags: ,, ",Login,https://unwire.hk/2019/05/08/nighthawk-xr300/wireless-home/routers/
2019-05-06T09:03:30+00:00,以色列用戰機反擊哈馬斯「鍵盤戰士」網軍基地,"五月 6, 2019 •,  •",Dennis,https://unwire.hk/2019/05/06/hamas-hacker-bombed-by-israel/fun-tech/
2019-05-06T11:11:58+00:00,【評測】IKEA ENEBY 藍牙喇叭    簡約外形 + 低音夠力,"五月 6, 2019 •,, ,, ,  •,Tags: ,, ",Edward,https://unwire.hk/2019/05/06/ikea-eneby-bluetooth-speaker-2/review-2/
2019-05-06T11:17:43+00:00,Samsung 開發 OLED 面板兼容熒幕下相機、指紋、發聲裝置,"五月 6, 2019 •,  •,Tags: ",Dennis,https://unwire.hk/2019/05/06/samsung-new-oled/mobile-phone/
2019-05-07T10:57:55+00:00,【實試】Nissan Leaf 第二代純電動車　最平30萬有找+續航力311km,"五月 6, 2019 •,, ,  •,Tags: ,, ,, ",Lawton,https://unwire.hk/2019/05/06/nissan-leaf-3/life-tech/
2019-05-05T19:17:38+00:00,美國空軍成功測試以激光將導彈擊落,"五月 6, 2019 •,  •,Tags: ",唐美鳳,https://unwire.hk/2019/05/06/us-air-force-research-laboratory-shield-laser-weapons-system-test/life-tech/
2019-05-05T19:29:20+00:00,英國政府宣佈支援 Apple Pay、Google Pay,"五月 6, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/06/apple-pay-now-accepted-for-payments-on-some-gov-uk-services/life-tech/
2019-05-06T05:20:15+00:00,英國消費者組織：iPhone 續航力比宣稱低 18% 至 51%,"五月 6, 2019 •,  •,Tags: ,, ",Dennis,https://unwire.hk/2019/05/06/apple-iphone-batter-life-overestimate/mobile-phone/
2019-05-06T07:44:07+00:00,食環署擬增 150 攝錄機打擊非法棄置垃圾　元朗佔 93 個,"五月 6, 2019 •,  •",Dennis,https://unwire.hk/2019/05/06/ipcam-litter/fun-tech/
2019-05-07T11:57:15+00:00,【unwire TV】ePedal 剎車 + 流線外形 二代日產 LEAF 電動車 實試,"五月 6, 2019 •,, ,  •,Tags: ,, ,, ",chris,https://unwire.hk/2019/05/06/leaf_nissan/unwire_podcast/
2019-05-06T23:26:59+00:00,研究指網絡達人減肥健康貼士不可信,"五月 7, 2019 •,, ,  •,Tags: ,, ,, ,, ",唐美鳳,https://unwire.hk/2019/05/07/internet-health-diet-advice-not-trustworth/life-tech/social-network/
2019-05-06T23:29:21+00:00,Microsoft 申請視障人士遊戲手掣專利,"五月 7, 2019 •,  •,Tags: ,, ,, ,, ",唐美鳳,https://unwire.hk/2019/05/07/microsoft-game-controller-patent/game-channel/
2019-05-06T12:17:28+00:00,SONY 電視 2019 OLED LCD TV Z9G & X9500G 登陸香港　正式進軍 8K + 配備 X1 Ultimate,"五月 6, 2019 •,, ,  •",arthur,https://unwire.hk/2019/05/06/sonyoled/hottopic/
2019-05-05T11:11:15+00:00,Google 地圖將顯示餐廳最受歡迎菜式照片,"五月 5, 2019 •,  •,Tags: ,, ,, ,, ",藍骨,https://unwire.hk/2019/05/05/google-maps-menu-pictures/software/
2019-05-05T12:11:18+00:00,FAA 預計商用無人機市場將在 4 年內擴大 3 倍,"五月 5, 2019 •,  •,Tags: ",藍骨,https://unwire.hk/2019/05/05/faa-annual-aviation-report-hobby-commercial-drones-prediction/life-tech/drone/
2019-05-05T18:50:16+00:00,無人機美國完成首次移植器官運送任務,"五月 6, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/06/pioneering-breakthrough-unmanned-aircraft/life-tech/
2019-05-05T18:57:16+00:00,醫療系統保安欠佳   電腦病毒竄改病人診斷資料,"五月 6, 2019 •,  •,Tags: ",唐美鳳,https://unwire.hk/2019/05/06/computer-virus-alters-cancer-scan-images/tech-secure/
2019-05-06T23:31:41+00:00,Spotify 歐盟指控 Apple Music 不公平競爭,"五月 7, 2019 •,  •,Tags: ,, ,, ,, ,, ",唐美鳳,https://unwire.hk/2019/05/07/eu-apple-inquiry-spotify/mobile-music/
2019-05-05T10:54:04+00:00,Tesla 出信警告員工切勿洩漏公司機密,"五月 5, 2019 •,  •,Tags: ",藍骨,https://unwire.hk/2019/05/05/tesla-email-warns-employees-stop-leaking/fun-tech/
2019-05-05T15:07:30+00:00,Windows 將棄用方角設計  採用更圓滑邊框,"五月 5, 2019 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2019/05/05/rounded-corners-are-coming-to-windows-10/software/win10/
2019-05-05T19:09:46+00:00,Samsung 投資 3.6 億美元印度建兩廠房,"五月 6, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/06/samsung-invest-360-million-india-two-new-production-plants/mobile-phone/
2019-05-05T08:04:14+00:00,對抗外掛！大逃殺遊戲《Apex Legends》砍掉77萬名出千玩家　 兼阻止被封人士再註冊,"五月 5, 2019 •,  •,Tags: ",Lawton,https://unwire.hk/2019/05/05/anticheatsapexlegends/game-channel/
2019-05-05T00:53:53+00:00,超過 12 萬字符   阿里巴巴推出免費商用字體,"五月 5, 2019 •,  •,Tags: ,, ,, ",唐美鳳,https://unwire.hk/2019/05/05/free-alibaba-fonts/life-tech/
2019-05-05T00:56:43+00:00,華為確認興建晶片工廠   選址英國劍橋,"五月 5, 2019 •,  •,Tags: ,, ",唐美鳳,https://unwire.hk/2019/05/05/huawei-will-build-chip-rd-center-right-next-to-arm-hq-in-cambridge/life-tech/
2019-05-05T08:33:53+00:00,Niantic帶領Pokemon Go玩家們「捕捉」145噸垃圾 　為地球出一分力,"五月 5, 2019 •,  •,Tags: ",Lawton,https://unwire.hk/2019/05/05/pokemongoearthday/game-channel/
2019-05-04T13:26:38+00:00,Pornhub 宣佈有意出手收購 Tumblr 扭轉經營困局,"五月 4, 2019 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2019/05/04/pornhub-%e5%ae%a3%e4%bd%88%e6%9c%89%e6%84%8f%e5%87%ba%e6%89%8b%e6%94%b6%e8%b3%bc-tumblr-%e6%89%ad%e8%bd%89%e7%b6%93%e7%87%9f%e5%9b%b0%e5%b1%80/fun-tech/
2019-05-04T13:36:04+00:00,Google 2019 年首個月已耗費幾億美元人手審查影片,"五月 4, 2019 •,  •,Tags: ,, ",藍骨,https://unwire.hk/2019/05/04/us-alphabet-google-youtube-google-spends-hundreds-of-millions-of-dollars-on-content-review/fun-tech/
